,carat,cut,color,clarity,depth percentage,table,length,width,depth,price
11105,1.13,4,2,2,62.1,55.0,6.65,6.68,4.14,4932
40661,0.41,4,5,5,60.8,56.0,4.84,4.8,2.93,1154
47240,0.51,1,5,5,61.3,63.0,5.11,5.16,3.15,1841
44181,0.5,2,5,4,62.4,57.0,5.01,5.03,3.13,1568
18427,1.54,3,4,2,62.8,57.0,7.36,7.28,4.6,7494
46822,0.96,0,2,1,60.1,62.0,6.21,6.0,3.68,1808
46926,0.52,4,3,5,62.7,57.0,5.15,5.12,3.22,1815
36949,0.28,2,2,7,58.5,61.0,4.27,4.31,2.51,480
27791,0.37,3,3,4,61.3,60.0,4.6,4.63,2.83,649
17566,1.2,4,2,4,61.2,59.0,6.84,6.89,4.2,7072
48455,0.58,3,3,6,61.4,61.0,5.43,5.38,3.32,1975
46830,0.53,4,6,4,62.2,56.0,5.17,5.18,3.22,1809
37000,0.5,1,0,4,63.2,60.0,5.01,5.06,3.18,965
46161,0.5,3,5,4,61.1,61.0,5.13,5.11,3.13,1746
38956,0.31,1,1,5,63.9,56.0,4.28,4.3,2.74,489
3920,0.56,4,6,7,61.9,56.0,5.32,5.28,3.28,3496
3551,1.07,1,4,1,64.3,59.0,6.42,6.37,4.11,3415
50387,0.71,1,3,3,62.3,56.0,5.68,5.72,3.55,2251
18449,1.52,2,0,4,63.5,58.0,7.28,7.24,4.61,7504
3629,0.71,4,3,5,61.7,56.0,5.72,5.75,3.53,3431
48642,0.31,4,1,3,62.5,56.0,4.35,4.29,2.7,537
29576,0.41,2,4,3,63.0,56.0,4.71,4.78,2.99,705
16686,0.31,4,2,2,61.0,56.0,4.36,4.39,2.67,421
6587,1.01,4,2,2,61.3,59.0,6.5,6.46,3.97,4078
14896,1.26,3,2,2,58.6,59.0,7.09,7.04,4.14,5998
6160,1.0,2,2,2,64.1,54.0,6.3,6.33,4.05,3991
7931,1.08,3,3,2,60.7,60.0,6.64,6.61,4.02,4318
49097,0.51,4,2,8,59.6,59.0,5.2,5.24,3.11,2063
36256,0.41,4,5,4,62.1,56.0,4.74,4.76,2.95,935
46033,0.57,3,3,4,62.6,55.0,5.31,5.26,3.31,1728
41932,0.4,4,6,6,61.9,56.0,4.74,4.76,2.94,1263
44450,0.5,4,5,5,62.7,57.0,5.01,5.03,3.15,1591
38613,0.28,2,5,5,61.8,55.0,4.21,4.24,2.61,489
11492,1.04,3,3,3,60.9,59.0,6.57,6.53,3.99,5017
44201,0.51,2,4,4,62.9,57.0,5.09,5.11,3.21,1569
40043,0.52,2,5,2,60.7,56.0,5.17,5.21,3.15,1112
33255,0.32,4,5,5,61.1,55.0,4.44,4.46,2.72,825
35204,0.44,3,0,5,61.9,57.0,4.9,4.83,3.01,891
31092,0.3,3,6,6,62.4,58.0,4.26,4.3,2.67,752
9720,1.01,2,3,3,62.4,58.0,6.39,6.44,4.0,4653
15548,1.23,2,4,2,61.9,58.0,6.77,6.79,4.2,6233
16245,1.01,1,3,5,63.7,57.0,6.32,6.37,4.04,6499
49210,0.55,4,5,5,61.1,55.0,5.33,5.3,3.25,2079
42456,0.5,3,5,3,60.2,58.0,5.15,5.18,3.11,1316
46869,0.53,4,5,4,60.0,57.0,5.3,5.24,3.16,1813
9629,1.15,3,1,3,62.2,56.0,6.77,6.67,4.18,4637
43032,0.51,2,4,3,61.8,57.0,5.1,5.13,3.16,1374
29889,0.3,2,6,4,62.0,58.0,4.29,4.32,2.67,710
46416,0.55,4,6,4,61.0,56.0,5.31,5.28,3.23,1768
52004,0.7,3,5,3,60.0,62.0,5.79,5.75,3.46,2444
9198,0.94,3,2,4,60.1,59.0,6.35,6.32,3.81,4548
38307,0.37,1,3,2,63.3,55.0,4.58,4.61,2.91,487
33692,0.33,4,3,7,61.6,55.0,4.46,4.47,2.75,838
6263,1.27,3,0,4,62.8,58.0,6.96,6.92,4.36,4011
50607,0.7,4,2,2,60.4,58.0,5.82,5.77,3.5,2285
7168,0.92,2,5,3,63.2,58.0,6.18,6.16,3.9,4183
7113,1.0,3,3,2,62.7,59.0,6.36,6.3,3.97,4170
47262,0.7,1,0,4,63.2,61.0,5.59,5.62,3.54,1843
31160,0.41,2,5,3,62.4,55.0,4.74,4.78,2.97,755
29060,0.4,2,5,3,60.8,62.0,4.72,4.76,2.88,687
52867,0.73,4,5,2,61.2,54.0,5.88,5.86,3.59,2581
12995,1.26,4,0,3,62.0,56.0,6.93,6.9,4.29,5398
38870,0.4,3,4,5,61.1,59.0,4.75,4.71,2.89,1050
36724,0.32,4,5,7,61.7,55.0,4.39,4.42,2.72,954
47573,0.51,3,3,6,59.1,59.0,5.18,5.21,3.07,1875
45843,0.5,1,3,6,63.9,58.0,5.0,5.05,3.21,1715
329,0.7,2,4,4,62.9,58.0,5.63,5.65,3.55,2803
47228,0.55,4,6,3,60.9,57.0,5.29,5.32,3.23,1840
35568,0.35,4,4,4,62.1,56.0,4.57,4.54,2.83,906
44187,0.51,4,4,4,60.6,56.0,5.17,5.19,3.14,1569
14487,1.15,3,3,3,62.2,56.0,6.76,6.68,4.18,5851
7199,1.01,1,0,5,61.5,61.0,6.39,6.45,3.95,4189
51423,0.85,1,0,5,63.6,57.0,6.01,5.94,3.8,2372
11891,1.2,2,2,3,63.3,57.0,6.75,6.7,4.26,5114
35058,0.38,4,6,3,61.3,57.0,4.67,4.7,2.87,884
20389,0.31,3,4,4,62.4,58.0,4.31,4.34,2.7,625
48921,0.7,2,2,4,61.8,58.0,5.66,5.73,3.52,2042
11903,1.15,3,4,2,61.1,57.0,6.82,6.77,4.15,5120
15010,1.23,4,2,3,62.3,57.0,6.89,6.85,4.28,6046
18295,1.42,1,2,2,61.8,61.0,7.01,7.09,4.36,7437
14375,0.3,4,2,6,61.5,56.0,4.33,4.35,2.67,605
45392,0.54,2,6,3,63.2,55.0,5.21,5.17,3.28,1667
29974,0.32,4,6,3,61.5,54.0,4.42,4.46,2.73,715
50326,0.58,4,5,5,60.8,57.0,5.41,5.42,3.29,2241
52776,0.73,2,1,6,62.3,58.0,5.75,5.78,3.59,2565
51311,0.31,4,3,4,59.1,57.0,4.45,4.48,2.64,544
45823,0.55,4,1,7,62.7,57.0,5.23,5.17,3.26,1712
3783,0.96,4,1,4,59.8,57.0,6.42,6.39,3.83,3462
7316,1.02,2,4,2,60.0,60.0,6.53,6.57,3.93,4207
41294,0.34,4,6,7,61.7,56.0,4.48,4.46,2.76,1211
3595,0.9,1,0,4,62.3,64.0,6.09,6.17,3.82,3423
20375,0.31,2,3,5,62.0,59.0,4.28,4.3,2.66,625
52881,0.73,4,2,4,62.0,54.0,5.79,5.83,3.6,2583
32704,0.31,3,4,4,61.5,56.0,4.41,4.34,2.69,802
6378,0.25,4,5,7,61.2,57.0,4.08,4.12,2.51,576
865,1.02,4,1,1,61.7,56.0,6.44,6.49,3.99,2872
6792,0.7,4,4,6,61.2,56.0,5.73,5.78,3.52,4114
11598,1.04,4,3,2,62.4,54.0,6.49,6.53,4.06,5044
4616,0.89,1,4,3,64.3,55.0,6.12,6.01,3.9,3663
36935,0.23,2,5,7,61.2,57.0,3.96,3.98,2.43,478
44400,0.43,3,6,7,59.6,58.0,4.89,4.94,2.93,1584
38677,0.3,4,6,6,61.6,56.0,4.32,4.35,2.67,1041
50438,0.7,2,5,2,62.0,59.0,5.61,5.68,3.5,2263
52427,0.75,2,2,5,59.3,59.0,5.87,6.0,3.52,2513
3274,1.0,3,1,3,62.2,62.0,6.39,6.33,3.96,3360
9949,1.13,0,1,4,55.9,67.0,7.05,6.94,3.9,4695
50200,0.9,1,3,1,63.6,61.0,6.03,6.07,3.85,2226
1176,0.71,2,5,4,61.3,60.0,5.74,5.71,3.51,2930
35123,0.35,4,3,7,61.0,56.0,4.56,4.59,2.79,887
45339,0.57,4,3,3,62.0,55.0,5.35,5.32,3.31,1662
33420,0.32,4,2,6,61.9,55.0,4.39,4.37,2.71,828
229,0.52,4,4,8,62.2,55.0,5.14,5.18,3.21,2783
45632,0.28,2,2,7,62.9,54.0,4.2,4.23,2.65,525
7864,1.0,1,5,2,62.1,61.0,6.36,6.4,3.96,4307
51913,0.71,2,4,3,62.3,60.0,5.65,5.68,3.53,2436
13087,1.01,1,3,4,64.4,58.0,6.23,6.31,4.04,5418
7010,0.9,4,1,4,62.0,53.0,6.17,6.23,3.85,4157
4475,0.92,3,2,3,62.4,58.0,6.19,6.22,3.87,3624
28869,0.32,3,4,3,60.0,59.0,4.45,4.42,2.66,684
47063,0.52,4,6,4,61.8,55.0,5.16,5.19,3.2,1822
31026,0.31,3,4,4,59.4,58.0,4.45,4.37,2.62,749
5707,0.25,2,4,6,59.0,58.0,4.1,4.14,2.43,575
35511,0.41,1,5,3,63.6,56.0,4.73,4.7,3.0,904
53775,0.81,4,4,2,62.9,57.0,5.97,5.93,3.74,2726
41312,0.41,4,4,7,61.8,54.0,4.78,4.83,2.97,1213
8595,1.03,4,5,2,62.5,56.0,6.45,6.48,4.04,4441
53594,0.76,0,2,6,64.8,57.0,5.67,5.81,3.71,2699
33571,0.45,4,3,3,61.6,54.0,4.96,4.98,3.06,831
33025,0.3,4,6,6,61.7,55.0,4.33,4.36,2.68,814
8736,1.02,0,2,4,64.6,61.0,6.32,6.24,4.06,4462
502,0.7,3,5,4,62.6,56.0,5.71,5.66,3.56,2822
52174,0.7,3,5,2,62.8,59.0,5.69,5.64,3.56,2475
33048,0.3,4,4,7,62.6,55.0,4.28,4.31,2.69,814
50430,0.74,2,3,2,62.8,59.0,5.71,5.76,3.6,2262
39098,0.41,1,1,6,63.9,55.0,4.74,4.71,3.02,1061
15248,1.03,4,2,4,61.2,56.0,6.5,6.53,3.98,6123
49435,0.72,2,1,4,61.8,60.0,5.72,5.76,3.55,2109
52902,0.72,4,1,5,62.5,55.0,5.74,5.78,3.6,2586
28225,0.33,1,3,5,63.1,57.0,4.38,4.4,2.77,666
45468,0.5,4,5,4,62.9,55.0,5.11,5.07,3.2,1676
50869,0.7,1,4,3,60.0,62.0,5.73,5.83,3.47,2313
32945,0.34,4,1,3,62.4,56.0,4.45,4.49,2.79,459
42311,0.41,4,4,7,60.3,56.0,4.8,4.85,2.91,1295
32931,0.33,4,4,6,61.4,56.0,4.44,4.49,2.74,810
52874,0.71,4,1,4,61.6,57.0,5.7,5.62,3.49,2582
37152,0.32,4,6,4,62.2,56.0,4.39,4.36,2.72,972
9463,1.11,4,2,2,60.9,56.0,6.71,6.73,4.09,4600
53008,0.7,4,4,3,60.8,57.0,5.73,5.71,3.48,2596
261,0.87,2,1,3,63.6,55.8,6.07,6.1,3.87,2791
13507,1.01,3,6,3,61.8,60.0,6.37,6.35,3.93,5543
31896,0.3,4,3,5,62.5,57.0,4.32,4.29,2.69,776
48907,0.54,4,5,5,62.0,56.0,5.26,5.23,3.25,2041
39179,0.35,4,6,4,62.3,55.0,4.54,4.52,2.82,1063
46477,0.6,2,6,3,62.0,55.0,5.36,5.44,3.35,1777
34745,0.41,2,2,3,63.3,56.0,4.74,4.71,2.99,876
53635,0.3,4,1,7,62.1,56.0,4.3,4.33,2.68,552
9750,1.27,3,0,2,60.4,58.0,7.04,7.0,4.24,4660
39365,0.5,2,1,3,63.4,62.0,5.0,4.95,3.15,1073
37721,0.34,4,3,6,61.9,57.0,4.48,4.44,2.76,995
31019,0.31,4,4,4,61.6,56.0,4.39,4.35,2.69,749
53588,0.7,4,3,3,62.0,56.0,5.66,5.69,3.52,2699
28173,0.36,3,2,3,59.3,60.0,4.65,4.62,2.75,665
10444,1.0,1,2,3,57.5,62.0,6.51,6.47,3.73,4788
42833,0.58,4,6,2,63.4,57.0,5.29,5.34,3.37,1356
12955,1.21,2,1,4,63.4,57.0,6.79,6.72,4.28,5387
44635,0.57,2,3,4,62.8,57.0,5.23,5.28,3.3,1608
52149,0.71,2,2,3,61.5,56.0,5.71,5.75,3.53,2471
44523,0.52,2,5,4,59.2,59.0,5.23,5.27,3.11,1601
28398,0.28,2,5,6,63.2,56.0,4.17,4.21,2.65,669
41769,0.54,4,5,2,60.4,57.0,5.27,5.33,3.2,1246
11935,1.09,3,5,2,61.4,58.0,6.67,6.63,4.08,5127
51878,0.71,2,2,4,59.2,63.0,5.81,5.85,3.45,2428
15208,1.01,3,3,4,62.4,58.0,6.41,6.38,3.99,6108
31236,0.42,2,6,3,60.2,57.0,4.85,4.89,2.93,756
10173,1.0,3,2,5,62.7,58.0,6.37,6.33,3.98,4732
15892,1.01,4,3,4,61.6,56.0,6.46,6.43,3.97,6353
52406,0.71,4,5,2,59.5,57.0,5.87,5.82,3.48,2511
15029,1.0,3,3,4,61.6,58.0,6.43,6.39,3.95,6048
45897,0.52,4,6,3,60.0,56.0,5.24,5.19,3.13,1720
37705,0.37,2,4,8,60.4,57.0,4.65,4.68,2.81,995
33172,0.38,2,6,4,58.5,59.0,4.76,4.82,2.8,818
32589,0.33,4,3,7,61.8,59.0,4.45,4.48,2.76,802
13553,1.03,4,6,3,62.4,57.0,6.44,6.47,4.03,5551
17989,1.23,2,2,5,61.3,53.0,6.93,6.98,4.26,7276
4567,0.93,3,2,3,62.8,58.0,6.24,6.21,3.91,3646
49632,0.32,3,1,3,61.6,61.0,4.4,4.36,2.7,540
44661,0.35,1,3,3,63.4,56.0,4.46,4.5,2.84,522
49298,0.41,1,1,2,63.5,57.0,4.7,4.72,2.99,539
10209,1.05,3,5,2,59.5,59.0,6.65,6.59,3.94,4742
18240,1.14,4,2,4,61.1,57.0,6.71,6.78,4.12,7409
14644,1.1,2,2,4,61.3,58.0,6.63,6.74,4.1,5914
53063,0.72,4,2,5,61.9,56.0,5.78,5.73,3.56,2608
45437,0.51,2,5,4,59.5,63.0,5.22,5.17,3.09,1671
13146,1.11,1,3,2,59.7,61.0,6.72,6.69,4.0,5438
36928,0.41,4,3,5,61.9,57.0,4.81,4.76,2.96,961
11545,0.86,1,6,7,64.3,53.0,6.02,6.12,3.89,5029
38437,0.49,3,3,3,62.5,58.0,5.03,4.98,3.13,1026
3127,0.9,3,2,2,59.2,60.0,6.3,6.24,3.71,3326
3405,0.33,1,6,3,63.1,55.0,4.38,4.4,2.77,567
39834,0.51,2,5,2,62.0,57.0,5.09,5.13,3.17,1098
33163,0.31,2,5,6,61.4,60.0,4.34,4.36,2.67,816
5936,1.01,2,4,2,60.8,63.0,6.32,6.38,3.86,3945
9992,1.0,3,4,3,60.3,61.0,6.43,6.38,3.86,4704
45939,0.52,4,3,5,61.4,56.0,5.18,5.21,3.19,1722
44319,0.33,2,2,4,62.0,59.0,4.4,4.44,2.74,521
49235,0.62,0,4,5,60.0,64.0,5.69,5.48,3.36,2083
8004,1.01,3,3,2,62.5,60.0,6.39,6.34,3.98,4327
12121,1.35,3,3,2,60.5,60.0,7.16,7.11,4.32,5167
31516,0.34,4,5,3,62.3,57.0,4.51,4.48,2.8,765
16811,1.08,4,3,4,61.3,56.0,6.62,6.59,4.05,6706
43356,0.58,3,5,3,58.5,55.0,5.52,5.39,3.19,1407
10584,1.01,4,2,4,62.3,57.0,6.35,6.4,3.97,4821
43139,0.58,1,3,3,63.8,56.0,5.3,5.33,3.39,1388
15161,1.14,3,2,4,60.2,58.0,6.81,6.74,4.08,6095
35273,0.3,3,3,8,60.2,58.0,4.35,4.39,2.63,895
17201,0.9,2,6,6,62.6,59.0,6.11,6.15,3.84,6872
16049,0.3,3,2,4,62.5,58.0,4.28,4.26,2.67,608
7610,0.9,3,3,4,60.8,61.0,6.22,6.12,3.75,4259
46309,0.3,3,5,3,59.8,60.0,4.31,4.35,2.59,526
37862,0.34,4,4,6,61.8,55.0,4.46,4.51,2.77,1003
16311,1.01,3,3,5,59.8,59.0,6.55,6.5,3.9,6529
34914,0.34,4,4,4,62.9,55.0,4.48,4.46,2.81,880
46406,0.51,4,6,4,60.5,56.0,5.21,5.2,3.15,1767
13380,0.3,4,4,4,62.0,53.7,4.31,4.33,2.68,601
39942,0.23,2,5,8,59.9,58.0,3.98,4.03,2.4,492
4044,1.05,4,2,2,62.0,57.0,6.54,6.5,4.04,3528
40146,0.38,4,4,5,61.3,56.0,4.68,4.72,2.88,1116
29369,0.31,4,3,4,62.3,56.0,4.34,4.29,2.69,698
39969,0.5,2,4,3,63.1,61.0,5.06,4.98,3.17,1106
28179,0.37,3,2,3,63.0,58.0,4.59,4.55,2.88,666
18411,1.57,3,1,2,60.9,58.0,7.53,7.51,4.58,7484
30924,0.34,4,5,4,62.6,57.0,4.45,4.47,2.79,745
16191,1.07,4,3,4,63.0,55.0,6.55,6.5,4.11,6471
35153,0.4,4,6,4,62.1,53.0,4.77,4.8,2.97,890
38793,0.31,4,3,7,61.7,57.0,4.38,4.34,2.69,1046
27910,0.26,2,4,7,60.6,56.0,4.12,4.16,2.51,657
53048,0.8,4,1,4,61.6,58.0,5.99,6.03,3.7,2606
8233,1.12,3,1,3,61.1,59.0,6.66,6.69,4.08,4373
5261,1.12,2,5,2,60.9,63.0,6.59,6.65,4.03,3794
47404,0.5,2,4,5,61.4,58.0,5.05,5.14,3.13,1849
49136,0.56,4,6,4,61.5,57.0,5.33,5.28,3.26,2066
51784,0.7,4,3,3,61.9,56.0,5.66,5.71,3.52,2414
43587,0.56,3,2,4,62.2,60.0,5.28,5.23,3.27,1432
50239,0.71,4,3,3,60.6,57.0,5.72,5.8,3.49,2233
4139,0.81,4,3,5,62.3,57.0,5.99,5.95,3.72,3544
17277,1.12,4,3,5,62.3,57.0,6.59,6.64,4.12,6918
89,0.32,3,1,3,62.9,58.0,4.35,4.33,2.73,554
10730,0.32,2,5,4,61.6,58.0,4.4,4.47,2.73,594
12741,1.01,4,2,4,60.6,57.0,6.54,6.49,3.95,5317
47133,0.7,2,2,3,62.6,57.0,5.64,5.7,3.55,1830
18178,1.52,1,0,4,63.3,56.0,7.27,7.33,4.62,7370
17718,0.37,2,2,3,62.6,63.0,4.6,4.5,2.85,613
43381,0.5,1,3,4,63.2,57.0,4.99,5.04,3.17,1410
35230,0.34,1,2,7,64.0,57.0,4.43,4.38,2.82,893
16215,1.33,4,2,2,62.7,57.0,7.05,6.98,4.4,6480
28822,0.41,1,2,3,63.8,56.0,4.69,4.74,3.01,683
3277,0.7,4,6,5,62.5,57.0,5.65,5.68,3.54,3361
37799,0.53,4,2,2,61.5,56.0,5.21,5.23,3.21,1000
45221,0.52,4,5,3,61.1,57.0,5.2,5.17,3.16,1656
53726,0.72,3,6,4,61.0,59.0,5.77,5.74,3.51,2721
5771,0.91,4,5,2,60.8,56.0,6.29,6.25,3.81,3898
34019,0.39,4,1,6,60.8,56.0,4.74,4.76,2.89,849
8162,0.7,2,6,7,63.4,59.0,5.63,5.64,3.57,4362
16144,1.28,4,2,2,62.8,57.0,6.92,6.87,4.33,6451
37884,0.46,4,1,6,61.4,57.0,4.96,5.0,3.06,1006
5781,0.9,2,5,2,62.6,58.0,6.1,6.16,3.84,3902
3802,0.56,4,6,7,61.9,56.0,5.28,5.32,3.28,3465
3153,0.71,2,6,5,62.5,58.0,5.68,5.71,3.56,3333
33757,0.31,4,3,8,61.5,57.0,4.35,4.37,2.68,840
47203,0.5,4,3,6,60.5,55.0,5.13,5.15,3.11,1838
37900,0.41,4,6,4,61.7,56.0,4.78,4.81,2.96,1007
18199,1.46,2,1,3,62.8,57.0,7.13,7.21,4.5,7387
36468,0.39,2,3,7,63.2,57.0,4.62,4.65,2.93,943
17706,0.3,2,4,6,64.1,55.0,4.2,4.25,2.71,613
35852,0.32,4,5,7,60.5,57.0,4.44,4.48,2.7,917
10941,1.01,2,4,3,59.7,61.0,6.49,6.55,3.89,4899
5783,1.04,3,2,3,60.0,58.0,6.59,6.52,3.93,3902
38486,0.42,4,4,5,61.4,57.0,4.78,4.83,2.95,1031
10574,1.03,1,1,4,60.0,62.0,6.51,6.55,3.92,4819
7328,0.6,4,6,7,62.5,55.0,5.42,5.4,3.38,4209
3845,0.72,4,2,6,60.9,56.0,5.78,5.84,3.54,3475
8380,0.31,4,4,4,62.2,56.0,4.36,4.39,2.72,583
44949,0.5,1,6,4,63.4,57.0,5.04,5.09,3.21,1635
53010,0.7,4,4,3,62.1,56.0,5.67,5.65,3.51,2596
36730,0.32,3,5,7,60.5,58.0,4.42,4.47,2.69,954
47740,0.5,0,5,5,55.3,65.0,5.35,5.31,2.95,1890
33026,0.3,4,6,6,61.6,57.0,4.31,4.32,2.66,814
349,0.7,4,6,3,61.0,59.0,5.68,5.7,3.47,2804
34420,0.3,4,3,8,61.8,55.0,4.32,4.36,2.68,863
33100,0.38,3,6,3,59.1,58.0,4.77,4.74,2.81,815
35301,0.3,2,2,4,61.1,61.0,4.31,4.33,2.64,473
11754,1.01,2,4,3,62.4,60.0,6.35,6.4,3.98,5078
755,0.72,4,5,3,62.3,57.0,5.76,5.7,3.57,2857
1696,0.91,4,1,2,61.6,57.0,6.23,6.24,3.84,3034
6596,0.91,2,3,3,63.5,58.0,6.15,6.04,3.87,4081
31686,0.26,4,6,6,62.5,56.0,4.11,4.08,2.56,769
7797,1.03,4,3,2,62.9,57.0,6.37,6.47,4.04,4290
39853,0.57,1,0,4,63.3,56.0,5.24,5.28,3.33,1100
41882,0.57,4,1,4,61.6,54.0,5.35,5.4,3.31,1258
27789,0.37,3,5,3,59.3,58.0,4.73,4.75,2.81,649
50026,0.73,3,4,2,61.4,58.0,5.83,5.8,3.57,2197
13413,1.2,4,2,3,62.9,57.0,6.79,6.76,4.26,5510
2116,0.7,4,4,3,61.2,55.0,5.74,5.76,3.52,3119
30195,0.42,3,5,3,61.5,58.0,4.78,4.84,2.96,722
41408,0.49,3,3,4,61.0,59.0,5.13,5.06,3.11,1225
47961,0.51,4,3,7,62.7,54.0,5.1,5.14,3.21,1919
15830,1.3,3,0,5,61.6,56.0,7.06,7.0,4.33,6334
51730,0.73,0,3,4,60.1,65.0,5.91,5.81,3.52,2401
25686,0.33,1,4,4,59.5,61.0,4.49,4.54,2.68,643
29328,0.31,3,2,5,61.8,61.0,4.36,4.32,2.68,698
32103,0.33,3,6,4,61.2,58.0,4.41,4.44,2.71,781
2829,0.9,1,4,2,61.9,62.0,6.07,6.12,3.77,3267
4663,0.9,3,3,3,62.6,62.0,6.08,6.06,3.8,3669
6657,1.13,3,0,2,59.7,59.0,6.85,6.76,4.06,4093
10110,0.9,3,6,4,61.6,62.0,6.12,6.09,3.76,4717
52394,0.7,2,6,3,63.2,55.0,5.62,5.65,3.56,2509
28921,0.3,1,3,6,63.5,54.0,4.25,4.26,2.7,684
29532,0.31,2,5,6,58.8,59.0,4.46,4.45,2.62,704
42595,0.5,4,5,3,62.2,57.0,5.05,5.08,3.15,1331
32053,0.35,4,6,3,61.1,56.0,4.55,4.59,2.79,780
1931,0.72,2,5,2,61.0,59.0,5.73,5.78,3.51,3084
32379,0.39,2,0,5,63.1,56.0,4.7,4.62,2.94,790
1694,0.92,0,1,4,64.4,58.0,6.13,6.1,3.94,3033
32100,0.33,4,6,4,62.1,56.0,4.42,4.47,2.76,781
2524,0.7,3,4,7,63.0,60.0,5.62,5.59,3.53,3204
1853,0.7,4,3,5,61.5,56.0,5.7,5.75,3.52,3065
9341,1.01,2,5,2,63.3,58.0,6.37,6.3,4.01,4581
17762,1.12,4,6,3,60.5,56.0,6.75,6.78,4.09,7153
49703,0.61,4,6,4,61.0,57.0,5.45,5.47,3.33,2147
45256,0.6,2,4,3,60.6,57.0,5.46,5.5,3.32,1661
50096,0.62,4,1,7,61.1,55.0,5.52,5.57,3.39,2207
39594,0.4,4,3,3,61.3,55.0,4.72,4.81,2.92,1084
50742,0.5,4,5,6,61.8,53.6,5.1,5.13,3.16,2297
51661,0.71,4,1,5,61.6,54.7,5.71,5.85,3.54,2397
18304,1.02,4,3,5,62.4,57.0,6.41,6.43,4.01,7440
11445,1.01,3,3,3,61.5,59.0,6.48,6.43,3.97,5006
40402,0.55,4,0,4,60.4,58.0,5.29,5.34,3.21,1133
27762,0.32,3,2,4,60.7,58.0,4.46,4.43,2.7,648
12181,1.23,3,2,3,62.1,58.0,6.85,6.78,4.23,5183
41067,0.51,4,4,2,60.2,55.0,5.19,5.24,3.14,1191
12979,1.25,4,1,2,61.4,55.0,6.92,6.99,4.27,5395
5824,1.0,3,2,3,62.9,60.0,6.36,6.32,3.99,3915
40425,0.54,2,1,3,63.2,57.0,5.17,5.21,3.28,1135
34091,0.33,4,5,7,62.6,58.0,4.36,4.4,2.74,852
7511,0.61,4,6,7,62.1,56.0,5.43,5.46,3.38,4241
30230,0.33,4,5,4,61.2,56.0,4.45,4.47,2.73,723
6818,1.01,4,1,5,62.9,56.0,6.43,6.38,4.03,4118
30041,0.33,4,1,8,61.5,56.0,4.43,4.47,2.74,719
35380,0.41,2,3,5,61.5,58.0,4.76,4.8,2.94,899
43080,0.5,4,4,3,59.9,56.0,5.36,5.09,3.13,1378
11474,0.9,4,2,5,62.0,54.0,6.2,6.23,3.86,5013
31534,0.31,2,5,6,61.1,55.0,4.39,4.41,2.69,766
6765,1.3,2,0,4,63.3,57.0,6.98,6.96,4.41,4106
2759,0.93,3,0,4,62.3,60.0,6.3,6.23,3.9,3250
8146,0.96,4,3,3,63.0,54.0,6.27,6.24,3.94,4355
46082,0.5,2,4,5,62.6,59.0,5.03,5.06,3.16,1738
2114,0.9,2,0,4,61.9,59.0,6.14,6.2,3.82,3119
46603,0.54,3,6,3,62.1,56.0,5.25,5.22,3.25,1786
7156,0.85,4,5,3,60.7,57.0,6.11,6.14,3.72,4181
16585,1.08,2,2,7,63.1,57.0,6.57,6.52,4.13,6623
12225,1.0,4,4,3,61.9,56.0,6.36,6.41,3.95,5197
14828,1.01,2,5,3,63.1,57.0,6.4,6.37,4.03,5973
37725,0.34,4,3,6,61.6,56.0,4.49,4.47,2.76,995
5026,0.9,2,5,3,62.5,60.0,6.09,6.13,3.82,3748
35635,0.26,4,2,3,60.5,58.0,4.16,4.17,2.52,474
37657,0.42,3,4,3,60.0,59.0,4.88,4.85,2.92,992
41045,0.31,4,5,8,60.4,56.0,4.43,4.38,2.66,1188
15533,1.47,3,0,2,60.0,58.0,7.36,7.31,4.4,6223
46876,0.53,4,5,4,61.9,56.0,5.21,5.19,3.22,1813
53834,0.7,3,5,4,62.5,59.0,5.65,5.62,3.52,2737
50148,0.7,3,5,2,61.1,61.0,5.74,5.69,3.49,2215
50115,0.71,2,2,3,63.1,56.0,5.62,5.69,3.57,2210
51040,0.82,3,5,2,60.0,56.0,6.11,6.08,3.66,2329
29671,0.28,2,4,6,61.6,56.0,4.2,4.23,2.59,707
30128,0.32,4,3,4,61.8,57.0,4.4,4.37,2.71,720
39302,0.38,3,5,5,61.5,58.0,4.69,4.64,2.87,1069
36367,0.39,4,4,5,61.7,56.1,4.65,4.7,2.89,939
42516,0.41,4,4,6,61.2,56.0,4.78,4.82,2.94,1323
9684,1.1,3,3,2,61.4,59.0,6.71,6.59,4.08,4650
39010,0.39,2,6,6,61.4,59.0,4.69,4.73,2.89,1056
2620,0.74,2,4,5,61.7,57.0,5.79,5.85,3.59,3226
2109,1.08,3,2,1,61.7,59.0,6.54,6.59,4.05,3118
16872,1.02,4,5,4,62.7,56.0,6.38,6.44,4.02,6732
52055,1.02,3,4,1,59.6,59.0,6.51,6.45,3.87,2452
12621,1.0,3,3,3,62.7,59.0,6.36,6.31,3.97,5292
3024,0.81,2,4,3,62.2,56.0,5.97,5.99,3.72,3308
35421,0.4,3,3,3,61.1,61.0,4.76,4.7,2.89,900
30877,0.33,3,5,3,61.1,58.0,4.47,4.43,2.72,743
52775,0.91,3,4,2,59.8,58.0,6.29,6.26,3.75,2564
53290,0.3,3,6,3,62.3,58.0,4.28,4.32,2.68,552
14122,1.05,4,2,4,61.7,57.0,6.52,6.55,4.03,5728
