carat,cut,color,clarity,depth percentage,table,length,width,depth,price
1.57,3,1,2,60.9,58.0,7.53,7.51,4.58,7484
0.34,4,5,4,62.6,57.0,4.45,4.47,2.79,745
1.07,4,3,4,63.0,55.0,6.55,6.5,4.11,6471
0.4,4,6,4,62.1,53.0,4.77,4.8,2.97,890
0.31,4,3,7,61.7,57.0,4.38,4.34,2.69,1046
0.26,2,4,7,60.6,56.0,4.12,4.16,2.51,657
0.8,4,1,4,61.6,58.0,5.99,6.03,3.7,2606
1.12,3,1,3,61.1,59.0,6.66,6.69,4.08,4373
1.12,2,5,2,60.9,63.0,6.59,6.65,4.03,3794
0.5,2,4,5,61.4,58.0,5.05,5.14,3.13,1849
0.56,4,6,4,61.5,57.0,5.33,5.28,3.26,2066
0.7,4,3,3,61.9,56.0,5.66,5.71,3.52,2414
0.56,3,2,4,62.2,60.0,5.28,5.23,3.27,1432
0.71,4,3,3,60.6,57.0,5.72,5.8,3.49,2233
0.81,4,3,5,62.3,57.0,5.99,5.95,3.72,3544
1.12,4,3,5,62.3,57.0,6.59,6.64,4.12,6918
0.32,3,1,3,62.9,58.0,4.35,4.33,2.73,554
0.32,2,5,4,61.6,58.0,4.4,4.47,2.73,594
1.01,4,2,4,60.6,57.0,6.54,6.49,3.95,5317
0.7,2,2,3,62.6,57.0,5.64,5.7,3.55,1830
1.52,1,0,4,63.3,56.0,7.27,7.33,4.62,7370
0.37,2,2,3,62.6,63.0,4.6,4.5,2.85,613
0.5,1,3,4,63.2,57.0,4.99,5.04,3.17,1410
0.34,1,2,7,64.0,57.0,4.43,4.38,2.82,893
1.33,4,2,2,62.7,57.0,7.05,6.98,4.4,6480
0.41,1,2,3,63.8,56.0,4.69,4.74,3.01,683
0.7,4,6,5,62.5,57.0,5.65,5.68,3.54,3361
0.53,4,2,2,61.5,56.0,5.21,5.23,3.21,1000
0.52,4,5,3,61.1,57.0,5.2,5.17,3.16,1656
0.72,3,6,4,61.0,59.0,5.77,5.74,3.51,2721
0.91,4,5,2,60.8,56.0,6.29,6.25,3.81,3898
0.39,4,1,6,60.8,56.0,4.74,4.76,2.89,849
0.7,2,6,7,63.4,59.0,5.63,5.64,3.57,4362
1.28,4,2,2,62.8,57.0,6.92,6.87,4.33,6451
0.46,4,1,6,61.4,57.0,4.96,5.0,3.06,1006
0.9,2,5,2,62.6,58.0,6.1,6.16,3.84,3902
0.56,4,6,7,61.9,56.0,5.28,5.32,3.28,3465
0.71,2,6,5,62.5,58.0,5.68,5.71,3.56,3333
0.31,4,3,8,61.5,57.0,4.35,4.37,2.68,840
0.5,4,3,6,60.5,55.0,5.13,5.15,3.11,1838
0.41,4,6,4,61.7,56.0,4.78,4.81,2.96,1007
1.46,2,1,3,62.8,57.0,7.13,7.21,4.5,7387
0.39,2,3,7,63.2,57.0,4.62,4.65,2.93,943
0.3,2,4,6,64.1,55.0,4.2,4.25,2.71,613
0.32,4,5,7,60.5,57.0,4.44,4.48,2.7,917
1.01,2,4,3,59.7,61.0,6.49,6.55,3.89,4899
1.04,3,2,3,60.0,58.0,6.59,6.52,3.93,3902
0.42,4,4,5,61.4,57.0,4.78,4.83,2.95,1031
1.03,1,1,4,60.0,62.0,6.51,6.55,3.92,4819
0.6,4,6,7,62.5,55.0,5.42,5.4,3.38,4209
0.72,4,2,6,60.9,56.0,5.78,5.84,3.54,3475
0.31,4,4,4,62.2,56.0,4.36,4.39,2.72,583
0.5,1,6,4,63.4,57.0,5.04,5.09,3.21,1635
0.7,4,4,3,62.1,56.0,5.67,5.65,3.51,2596
0.32,3,5,7,60.5,58.0,4.42,4.47,2.69,954
0.5,0,5,5,55.3,65.0,5.35,5.31,2.95,1890
0.3,4,6,6,61.6,57.0,4.31,4.32,2.66,814
0.7,4,6,3,61.0,59.0,5.68,5.7,3.47,2804
0.3,4,3,8,61.8,55.0,4.32,4.36,2.68,863
0.38,3,6,3,59.1,58.0,4.77,4.74,2.81,815
0.3,2,2,4,61.1,61.0,4.31,4.33,2.64,473
1.01,2,4,3,62.4,60.0,6.35,6.4,3.98,5078
0.72,4,5,3,62.3,57.0,5.76,5.7,3.57,2857
0.91,4,1,2,61.6,57.0,6.23,6.24,3.84,3034
0.91,2,3,3,63.5,58.0,6.15,6.04,3.87,4081
0.26,4,6,6,62.5,56.0,4.11,4.08,2.56,769
1.03,4,3,2,62.9,57.0,6.37,6.47,4.04,4290
0.57,1,0,4,63.3,56.0,5.24,5.28,3.33,1100
0.57,4,1,4,61.6,54.0,5.35,5.4,3.31,1258
0.37,3,5,3,59.3,58.0,4.73,4.75,2.81,649
0.73,3,4,2,61.4,58.0,5.83,5.8,3.57,2197
1.2,4,2,3,62.9,57.0,6.79,6.76,4.26,5510
0.7,4,4,3,61.2,55.0,5.74,5.76,3.52,3119
0.42,3,5,3,61.5,58.0,4.78,4.84,2.96,722
0.49,3,3,4,61.0,59.0,5.13,5.06,3.11,1225
0.51,4,3,7,62.7,54.0,5.1,5.14,3.21,1919
1.3,3,0,5,61.6,56.0,7.06,7.0,4.33,6334
0.73,0,3,4,60.1,65.0,5.91,5.81,3.52,2401
0.33,1,4,4,59.5,61.0,4.49,4.54,2.68,643
0.31,3,2,5,61.8,61.0,4.36,4.32,2.68,698
0.33,3,6,4,61.2,58.0,4.41,4.44,2.71,781
0.9,1,4,2,61.9,62.0,6.07,6.12,3.77,3267
0.9,3,3,3,62.6,62.0,6.08,6.06,3.8,3669
1.13,3,0,2,59.7,59.0,6.85,6.76,4.06,4093
0.9,3,6,4,61.6,62.0,6.12,6.09,3.76,4717
0.7,2,6,3,63.2,55.0,5.62,5.65,3.56,2509
0.3,1,3,6,63.5,54.0,4.25,4.26,2.7,684
0.31,2,5,6,58.8,59.0,4.46,4.45,2.62,704
0.5,4,5,3,62.2,57.0,5.05,5.08,3.15,1331
0.35,4,6,3,61.1,56.0,4.55,4.59,2.79,780
0.72,2,5,2,61.0,59.0,5.73,5.78,3.51,3084
0.39,2,0,5,63.1,56.0,4.7,4.62,2.94,790
0.92,0,1,4,64.4,58.0,6.13,6.1,3.94,3033
0.33,4,6,4,62.1,56.0,4.42,4.47,2.76,781
0.7,3,4,7,63.0,60.0,5.62,5.59,3.53,3204
0.7,4,3,5,61.5,56.0,5.7,5.75,3.52,3065
1.01,2,5,2,63.3,58.0,6.37,6.3,4.01,4581
1.12,4,6,3,60.5,56.0,6.75,6.78,4.09,7153
0.61,4,6,4,61.0,57.0,5.45,5.47,3.33,2147
0.6,2,4,3,60.6,57.0,5.46,5.5,3.32,1661
0.62,4,1,7,61.1,55.0,5.52,5.57,3.39,2207
0.4,4,3,3,61.3,55.0,4.72,4.81,2.92,1084
0.5,4,5,6,61.8,53.6,5.1,5.13,3.16,2297
0.71,4,1,5,61.6,54.7,5.71,5.85,3.54,2397
1.02,4,3,5,62.4,57.0,6.41,6.43,4.01,7440
1.01,3,3,3,61.5,59.0,6.48,6.43,3.97,5006
0.55,4,0,4,60.4,58.0,5.29,5.34,3.21,1133
0.32,3,2,4,60.7,58.0,4.46,4.43,2.7,648
1.23,3,2,3,62.1,58.0,6.85,6.78,4.23,5183
0.51,4,4,2,60.2,55.0,5.19,5.24,3.14,1191
1.25,4,1,2,61.4,55.0,6.92,6.99,4.27,5395
1.0,3,2,3,62.9,60.0,6.36,6.32,3.99,3915
0.54,2,1,3,63.2,57.0,5.17,5.21,3.28,1135
0.33,4,5,7,62.6,58.0,4.36,4.4,2.74,852
0.61,4,6,7,62.1,56.0,5.43,5.46,3.38,4241
0.33,4,5,4,61.2,56.0,4.45,4.47,2.73,723
1.01,4,1,5,62.9,56.0,6.43,6.38,4.03,4118
0.33,4,1,8,61.5,56.0,4.43,4.47,2.74,719
0.41,2,3,5,61.5,58.0,4.76,4.8,2.94,899
0.5,4,4,3,59.9,56.0,5.36,5.09,3.13,1378
0.9,4,2,5,62.0,54.0,6.2,6.23,3.86,5013
0.31,2,5,6,61.1,55.0,4.39,4.41,2.69,766
1.3,2,0,4,63.3,57.0,6.98,6.96,4.41,4106
0.93,3,0,4,62.3,60.0,6.3,6.23,3.9,3250
0.96,4,3,3,63.0,54.0,6.27,6.24,3.94,4355
0.5,2,4,5,62.6,59.0,5.03,5.06,3.16,1738
0.9,2,0,4,61.9,59.0,6.14,6.2,3.82,3119
0.54,3,6,3,62.1,56.0,5.25,5.22,3.25,1786
0.85,4,5,3,60.7,57.0,6.11,6.14,3.72,4181
1.08,2,2,7,63.1,57.0,6.57,6.52,4.13,6623
1.0,4,4,3,61.9,56.0,6.36,6.41,3.95,5197
1.01,2,5,3,63.1,57.0,6.4,6.37,4.03,5973
0.34,4,3,6,61.6,56.0,4.49,4.47,2.76,995
0.9,2,5,3,62.5,60.0,6.09,6.13,3.82,3748
0.26,4,2,3,60.5,58.0,4.16,4.17,2.52,474
0.42,3,4,3,60.0,59.0,4.88,4.85,2.92,992
0.31,4,5,8,60.4,56.0,4.43,4.38,2.66,1188
1.47,3,0,2,60.0,58.0,7.36,7.31,4.4,6223
0.53,4,5,4,61.9,56.0,5.21,5.19,3.22,1813
0.7,3,5,4,62.5,59.0,5.65,5.62,3.52,2737
0.7,3,5,2,61.1,61.0,5.74,5.69,3.49,2215
0.71,2,2,3,63.1,56.0,5.62,5.69,3.57,2210
0.82,3,5,2,60.0,56.0,6.11,6.08,3.66,2329
0.28,2,4,6,61.6,56.0,4.2,4.23,2.59,707
0.32,4,3,4,61.8,57.0,4.4,4.37,2.71,720
0.38,3,5,5,61.5,58.0,4.69,4.64,2.87,1069
0.39,4,4,5,61.7,56.1,4.65,4.7,2.89,939
0.41,4,4,6,61.2,56.0,4.78,4.82,2.94,1323
1.1,3,3,2,61.4,59.0,6.71,6.59,4.08,4650
0.39,2,6,6,61.4,59.0,4.69,4.73,2.89,1056
0.74,2,4,5,61.7,57.0,5.79,5.85,3.59,3226
1.08,3,2,1,61.7,59.0,6.54,6.59,4.05,3118
1.02,4,5,4,62.7,56.0,6.38,6.44,4.02,6732
1.02,3,4,1,59.6,59.0,6.51,6.45,3.87,2452
1.0,3,3,3,62.7,59.0,6.36,6.31,3.97,5292
0.81,2,4,3,62.2,56.0,5.97,5.99,3.72,3308
0.4,3,3,3,61.1,61.0,4.76,4.7,2.89,900
0.33,3,5,3,61.1,58.0,4.47,4.43,2.72,743
0.91,3,4,2,59.8,58.0,6.29,6.26,3.75,2564
0.3,3,6,3,62.3,58.0,4.28,4.32,2.68,552
1.05,4,2,4,61.7,57.0,6.52,6.55,4.03,5728
0.58,4,3,3,61.4,55.0,5.38,5.41,3.31,1330
0.41,1,6,3,63.8,56.0,4.72,4.68,3.0,947
1.05,4,6,3,60.7,60.0,6.52,6.56,3.97,6196
0.52,2,4,4,63.9,57.0,5.08,5.12,3.26,1550
0.52,4,5,4,61.7,56.0,5.16,5.21,3.2,1888
0.31,3,6,4,60.7,59.0,4.35,4.38,2.65,734
0.26,2,6,4,59.6,63.0,4.13,4.16,2.47,420
0.33,4,3,7,62.2,57.0,4.46,4.41,2.76,1114
1.02,1,6,3,64.3,54.0,6.32,6.27,4.05,4558
0.36,3,3,8,62.5,60.0,4.53,4.49,2.82,1148
0.66,4,3,7,61.5,56.0,5.61,5.58,3.44,2890
0.32,0,4,4,59.6,60.0,4.42,4.34,2.61,1715
0.71,4,4,3,60.8,57.0,5.75,5.8,3.51,2487
0.9,2,4,4,59.6,59.0,6.27,6.31,3.75,4397
1.03,4,2,6,62.4,53.0,6.45,6.51,4.05,6560
0.59,4,3,5,64.1,54.0,5.37,5.3,3.42,1803
1.46,3,1,2,62.4,59.0,7.21,7.16,4.49,5519
0.81,1,3,4,62.9,58.0,5.88,5.94,3.72,3250
0.76,4,5,3,61.8,57.0,5.84,5.87,3.62,3170
0.6,2,5,2,63.2,60.0,5.32,5.28,3.35,1250
1.02,4,3,2,62.3,56.0,6.39,6.35,3.97,3204
0.34,3,6,4,62.1,58.0,4.5,4.45,2.78,1033
0.84,0,1,4,65.1,57.0,5.91,5.85,3.83,2359
0.57,1,4,5,58.3,61.0,5.49,5.54,3.21,1741
0.41,4,2,7,62.7,54.0,4.78,4.79,3.0,1043
0.31,4,6,6,61.9,56.0,4.32,4.37,2.69,779
1.2,1,2,4,63.3,59.0,6.74,6.78,4.28,6710
0.31,3,1,4,59.8,60.0,4.42,4.38,2.63,558
1.01,0,5,3,65.3,59.0,6.13,6.19,4.02,4844
0.4,2,4,5,60.9,61.0,4.75,4.78,2.9,851
0.52,4,6,7,62.1,54.0,5.15,5.18,3.21,3373
1.02,1,6,2,57.5,62.0,6.6,6.62,3.8,3839
1.21,2,1,3,61.2,62.0,6.81,6.84,4.18,5190
1.02,4,2,3,60.8,58.0,6.47,6.49,3.94,5251
0.3,3,2,3,59.3,59.0,4.38,4.36,2.59,540
0.3,3,5,5,61.9,60.0,4.3,4.26,2.65,911
1.26,4,2,3,61.0,56.0,7.04,7.0,4.28,6837
0.62,3,4,3,61.3,60.0,5.48,5.45,3.35,1633
0.41,3,5,5,60.6,59.0,4.77,4.8,2.9,1079
0.53,2,6,2,60.2,56.0,5.23,5.26,3.16,1307
1.03,2,5,2,61.7,54.9,6.46,6.52,4.01,5393
0.3,4,5,3,62.1,56.0,4.31,4.36,2.69,499
0.33,3,2,5,61.5,58.0,4.46,4.39,2.72,743
1.0,0,4,3,56.9,63.0,6.45,6.52,3.69,4688
0.3,2,5,6,62.9,55.0,4.25,4.27,2.68,840
0.32,1,2,5,63.1,57.0,4.34,4.37,2.75,561
0.31,2,3,7,59.6,59.0,4.4,4.42,2.63,642
0.43,2,3,5,59.3,58.0,4.97,5.02,2.96,998
0.5,4,3,7,62.2,56.0,5.1,5.12,3.18,1966
0.3,2,2,3,59.4,63.0,4.4,4.35,2.6,540
0.38,4,2,7,62.3,53.3,4.63,4.66,2.9,894
1.15,4,4,2,60.6,58.0,6.75,6.79,4.1,5635
1.02,4,5,3,62.2,57.0,6.41,6.45,4.0,5553
0.27,2,2,7,61.2,57.0,4.15,4.18,2.55,504
1.11,4,1,4,61.7,55.0,6.66,6.69,4.12,5506
0.39,4,4,6,61.9,54.8,4.68,4.69,2.9,1036
0.7,4,3,6,61.0,56.0,5.74,5.77,3.51,3205
0.31,4,5,4,61.6,56.0,4.4,4.37,2.7,872
1.27,4,4,3,61.8,57.0,6.96,6.89,4.28,5761
0.5,3,5,4,60.3,58.0,5.15,5.13,3.1,1920
0.38,2,2,4,60.6,58.0,4.68,4.7,2.84,700
0.71,4,6,3,60.2,56.0,5.86,5.83,3.52,2822
0.31,1,2,3,63.6,57.0,4.31,4.28,2.73,558
0.3,2,4,3,57.9,61.0,4.39,4.49,2.57,489
0.59,4,4,6,62.0,54.0,5.36,5.38,3.33,2679
1.51,1,1,3,63.8,59.0,7.27,7.21,4.62,6266
0.58,4,4,5,61.9,54.0,5.37,5.33,3.31,1865
0.31,3,2,6,62.6,60.0,4.29,4.33,2.7,625
0.9,4,6,3,60.7,57.0,6.23,6.16,3.76,4304
1.0,2,1,3,63.3,56.0,6.27,6.36,4.0,4538
1.14,4,2,2,62.6,57.0,6.72,6.63,4.18,4788
0.32,1,6,2,63.9,58.0,4.33,4.31,2.76,612
0.42,4,4,5,61.6,56.0,4.82,4.8,2.96,1082
0.53,4,6,2,61.9,55.0,5.19,5.24,3.23,1314
1.03,2,5,2,60.7,63.0,6.48,6.44,3.92,4326
0.52,4,5,4,61.1,55.0,5.27,5.2,3.2,1815
0.23,4,5,6,62.5,57.0,3.92,3.99,2.47,530
0.51,4,4,4,61.0,57.0,5.16,5.11,3.13,1619
1.25,4,1,2,62.0,57.0,6.85,6.92,4.27,5259
0.3,3,3,5,61.8,59.0,4.34,4.37,2.69,605
0.94,3,4,2,62.4,58.0,6.23,6.17,3.87,3456
1.06,4,5,3,59.6,54.0,6.64,6.62,3.95,5250
1.03,3,0,1,62.8,55.0,6.43,6.41,4.03,2392
0.41,4,1,3,61.7,55.0,4.77,4.8,2.95,561
1.0,3,0,3,60.8,58.0,6.44,6.39,3.9,3780
0.7,4,3,4,61.8,54.0,5.71,5.74,3.54,2593
0.54,4,5,5,62.6,55.0,5.22,5.2,3.26,1823
1.19,2,4,2,58.8,60.0,6.93,6.98,4.09,5622
1.5,4,3,2,63.0,57.0,7.31,7.2,4.57,6720
0.29,2,4,6,60.2,58.0,4.29,4.35,2.6,664
0.94,4,5,2,61.1,55.0,6.29,6.34,3.86,3915
0.37,3,2,5,60.9,60.0,4.63,4.6,2.81,833
0.74,2,4,4,61.3,61.0,5.8,5.84,3.57,2775
0.34,3,5,2,61.5,58.0,4.49,4.52,2.77,477
1.2,2,3,4,62.4,59.0,6.68,6.74,4.19,7273
0.9,4,4,3,62.3,56.0,6.17,6.13,3.83,4103
0.71,3,4,3,60.9,59.0,5.74,5.69,3.48,2198
1.06,2,3,5,62.0,58.0,6.51,6.56,4.05,7003
0.92,2,4,3,62.7,57.0,6.14,6.2,3.87,4037
0.33,4,3,6,61.7,56.0,4.46,4.42,2.74,965
0.41,1,5,3,63.9,58.0,4.72,4.7,3.01,969
0.53,3,3,5,63.0,58.0,5.17,5.15,3.25,1727
0.24,2,6,5,62.2,58.0,3.95,3.99,2.47,419
0.91,4,1,4,61.6,56.0,6.17,6.25,3.83,4199
0.51,4,5,3,62.4,55.0,5.14,5.09,3.19,1443
1.01,3,4,5,62.4,61.0,6.39,6.36,3.98,7127
0.9,0,6,3,64.5,61.0,6.05,6.01,3.89,3689
0.53,2,6,7,61.2,55.0,5.21,5.26,3.21,3307
1.01,2,3,4,60.0,57.0,6.53,6.6,3.94,5886
0.58,4,6,2,61.7,54.0,5.4,5.43,3.34,1356
0.71,3,1,4,60.4,60.0,5.8,5.72,3.48,2300
0.31,4,3,4,61.4,57.0,4.33,4.37,2.67,544
0.41,4,3,7,62.4,53.0,4.79,4.8,2.99,1068
0.5,2,5,2,60.6,59.0,5.07,5.12,3.09,1104
0.32,3,4,4,61.5,58.0,4.39,4.42,2.71,645
0.9,4,4,3,62.5,56.0,6.13,6.16,3.84,4054
0.41,3,4,5,62.6,58.0,4.74,4.75,2.97,1007
0.43,4,3,5,61.2,57.0,4.88,4.83,2.97,941
1.05,4,2,2,61.2,57.0,6.62,6.55,4.03,4410
0.26,2,5,4,62.1,56.0,4.11,4.13,2.56,452
1.09,2,1,4,62.0,56.0,6.57,6.59,4.08,4959
0.37,3,4,4,60.5,59.0,4.62,4.67,2.81,696
0.3,2,3,6,63.2,57.0,4.27,4.24,2.69,878
1.11,4,3,3,62.0,57.0,6.69,6.61,4.12,5127
0.42,4,6,7,61.8,55.0,4.85,4.83,2.99,1621
0.54,2,5,4,61.2,58.0,5.21,5.28,3.21,1707
0.88,2,4,6,62.0,59.0,6.09,6.13,3.79,5052
0.36,4,6,6,60.7,56.0,4.59,4.63,2.8,971
0.5,2,5,6,61.5,60.0,5.04,5.08,3.11,2132
0.7,1,6,4,63.9,58.0,5.62,5.58,3.58,3033
0.71,2,5,4,62.5,58.0,5.69,5.73,3.57,3344
0.5,2,1,3,62.5,57.0,5.06,5.09,3.17,1035
1.12,4,6,2,62.6,57.0,6.61,6.65,4.15,5456
1.18,3,2,4,61.1,60.0,6.8,6.76,4.14,4916
1.03,2,6,3,61.2,54.0,6.53,6.61,4.02,5948
0.91,2,4,4,60.8,57.0,6.24,6.25,3.8,4606
0.3,3,6,4,62.9,61.0,4.29,4.27,2.69,911
0.97,2,3,7,61.9,54.0,6.33,6.36,3.93,7415
0.31,2,1,5,63.5,57.0,4.28,4.26,2.71,628
1.06,4,6,2,62.3,55.0,6.54,6.5,4.06,5253
0.28,2,2,4,61.6,57.0,4.22,4.25,2.61,429
0.7,3,6,3,60.8,58.0,5.79,5.66,3.48,2473
0.31,2,3,3,61.7,55.0,4.37,4.38,2.7,462
1.01,1,2,3,64.0,58.0,6.37,6.31,4.06,4191
0.3,4,4,7,62.6,56.0,4.26,4.29,2.67,857
0.64,2,6,3,63.7,54.0,5.47,5.52,3.5,1910
1.2,4,2,4,62.8,57.0,6.71,6.67,4.2,4771
1.5,0,1,1,66.1,57.0,7.12,7.04,4.68,4704
1.01,2,4,5,63.3,60.0,6.35,6.32,4.01,7127
0.4,4,5,4,62.4,56.0,4.74,4.71,2.95,975
0.73,3,5,3,61.8,59.0,5.8,5.73,3.56,2510
1.02,2,0,2,62.9,59.0,6.34,6.41,4.01,3755
0.73,2,1,4,62.2,57.0,5.75,5.76,3.58,2369
0.53,3,5,2,59.9,58.0,5.31,5.27,3.17,984
0.28,4,2,5,62.0,55.0,4.21,4.24,2.62,497
0.7,0,5,2,64.4,58.0,5.58,5.51,3.57,1998
0.55,2,4,3,60.7,57.0,5.27,5.3,3.21,1316
0.5,4,2,3,62.2,57.0,5.07,5.09,3.16,1140
0.45,0,4,3,57.9,66.0,5.08,4.98,2.91,794
0.71,3,4,2,60.2,60.0,5.8,5.77,3.48,2137
1.07,3,1,2,59.7,59.0,6.68,6.63,3.97,4206
0.3,4,5,4,62.1,55.0,4.28,4.32,2.67,658
1.29,4,0,5,62.0,57.0,6.92,6.98,4.31,5676
0.7,4,4,5,62.4,56.0,5.67,5.65,3.53,3199
0.5,3,5,4,61.3,59.0,5.1,5.05,3.11,1746
0.54,4,2,3,62.5,56.0,5.2,5.23,3.26,1147
0.31,2,3,5,63.2,56.0,4.32,4.29,2.72,802
1.18,2,6,3,61.7,57.0,6.8,6.84,4.21,7093
0.31,4,6,4,62.5,57.0,4.31,4.36,2.71,734
0.3,4,2,3,62.1,56.0,4.29,4.31,2.67,450
0.4,3,6,2,59.9,60.0,4.74,4.78,2.85,666
0.52,4,4,7,61.9,55.0,5.17,5.2,3.21,2251
0.25,4,3,6,62.1,57.0,4.01,4.07,2.5,525
0.61,4,0,5,61.1,56.0,5.44,5.49,3.33,1569
0.33,4,4,7,60.6,59.0,4.45,4.5,2.71,828
1.04,3,3,1,62.2,58.0,6.46,6.41,4.0,2801
0.92,3,3,2,59.4,62.0,6.36,6.34,3.77,3555
0.71,3,5,4,62.4,60.0,5.68,5.66,3.54,2613
0.43,4,5,4,61.9,56.0,4.85,4.88,3.01,981
1.3,3,0,3,61.0,59.0,7.09,7.01,4.3,5569
1.73,0,2,2,65.9,58.0,7.52,7.45,4.93,6007
1.01,1,3,4,63.7,56.0,6.4,6.32,4.05,5701
0.5,4,5,3,60.1,57.0,5.14,5.27,3.13,1410
0.41,4,3,8,62.1,57.0,4.76,4.77,2.96,1276
0.34,3,1,3,60.2,59.0,4.52,4.55,2.73,447
0.82,3,1,4,62.6,59.0,5.91,5.87,3.69,2648
0.31,4,3,6,62.5,53.0,4.37,4.4,2.74,677
0.32,2,5,2,62.7,57.0,4.34,4.37,2.73,449
0.93,3,3,4,62.2,59.0,6.21,6.26,3.88,4834
1.0,2,1,5,60.8,59.0,6.39,6.44,3.9,5557
1.01,4,2,3,62.7,56.0,6.37,6.42,4.01,5457
0.33,4,3,8,61.0,56.0,4.48,4.51,2.74,925
0.36,3,1,3,60.4,60.0,4.58,4.62,2.78,486
0.83,1,3,4,63.7,60.9,5.84,5.92,3.75,3195
1.0,0,1,2,66.8,56.0,6.22,6.12,4.13,2743
1.2,2,2,3,60.8,58.0,6.8,6.85,4.15,6077
0.28,2,5,6,62.0,56.0,4.22,4.3,2.63,544
0.33,4,6,4,62.5,55.0,4.45,4.41,2.77,1002
1.21,4,1,5,61.5,56.0,6.83,6.87,4.22,6691
1.0,1,3,4,63.0,58.0,6.25,6.35,3.97,5723
0.38,4,1,5,62.3,55.0,4.63,4.66,2.89,703
0.4,1,1,3,63.9,57.0,4.7,4.66,2.99,765
0.75,3,6,3,59.2,58.0,5.96,5.93,3.52,3024
0.24,2,6,6,62.4,58.0,3.94,4.01,2.48,552
0.3,2,3,3,59.5,63.0,4.32,4.29,2.56,574
0.9,4,4,3,62.4,56.0,6.22,6.18,3.87,3992
0.31,3,2,6,61.4,59.0,4.35,4.38,2.68,625
0.32,2,3,7,61.9,58.0,4.36,4.39,2.71,842
0.74,4,5,2,62.2,56.0,5.8,5.84,3.62,2761
0.57,4,4,6,60.2,57.0,5.38,5.41,3.25,2321
0.46,2,5,3,61.4,62.0,4.92,4.95,3.03,1042
0.77,4,3,2,60.3,56.0,5.96,5.92,3.58,2162
1.09,4,3,1,61.0,56.0,6.66,6.62,4.05,3614
0.7,1,5,3,63.6,62.0,5.57,5.6,3.55,2386
0.3,3,1,5,61.6,60.0,4.3,4.27,2.64,608
0.52,4,3,5,61.6,56.0,5.18,5.22,3.2,1722
1.11,3,0,3,59.5,58.0,6.89,6.77,4.07,3524
0.72,2,2,4,62.5,58.0,5.67,5.73,3.56,2444
1.14,4,1,3,61.8,57.0,6.76,6.68,4.15,4724
0.56,4,6,5,62.6,59.0,5.24,5.31,3.3,2170
0.58,3,5,3,62.1,58.0,5.35,5.31,3.31,1812
0.36,4,5,4,61.2,56.0,4.59,4.63,2.82,789
0.3,3,1,3,61.4,58.0,4.33,4.3,2.65,506
1.19,3,1,2,61.6,56.0,6.87,6.83,4.22,4438
0.31,4,3,5,62.7,57.0,4.31,4.34,2.71,542
0.32,3,3,6,61.2,59.0,4.44,4.39,2.7,936
0.28,2,6,5,62.4,56.0,4.15,4.18,2.6,514
0.43,2,3,8,62.7,58.0,4.8,4.84,3.02,1286
0.38,4,5,7,61.3,55.0,4.67,4.72,2.88,1200
0.41,4,2,3,62.9,55.0,4.82,4.75,3.01,876
0.5,1,6,3,61.1,64.0,5.05,5.07,3.09,1374
0.58,4,5,4,61.6,55.0,5.36,5.39,3.31,2357
0.77,4,2,5,61.3,56.0,5.91,5.97,3.64,3468
1.0,3,6,2,62.2,61.0,6.36,6.3,3.94,4626
0.45,0,2,6,65.8,56.0,4.82,4.7,3.13,1227
1.2,3,1,5,62.8,56.0,6.8,6.74,4.25,6021
0.28,4,5,6,62.4,56.0,4.16,4.2,2.61,646
0.3,1,1,3,63.8,57.0,4.27,4.19,2.7,506
0.73,4,5,3,60.9,56.0,5.84,5.79,3.54,2361
0.51,2,5,3,63.0,58.0,4.99,5.08,3.17,1330
0.71,2,6,3,61.0,58.0,5.71,5.87,3.53,2683
1.22,2,2,3,62.5,59.0,6.79,6.82,4.25,6323
0.34,2,5,6,61.6,58.0,4.5,4.53,2.78,819
0.42,2,4,5,61.9,55.0,4.78,4.82,2.97,1031
0.3,3,3,4,60.8,61.0,4.34,4.31,2.63,675
0.51,1,2,4,61.8,65.0,5.07,5.02,3.12,1128
1.29,1,6,2,57.9,59.0,7.22,7.18,4.17,6140
0.75,4,0,3,61.5,56.0,5.83,5.87,3.6,2850
1.01,2,1,2,63.1,54.0,6.39,6.35,4.02,3818
0.4,4,5,6,62.1,55.0,4.74,4.76,2.95,1158
1.06,3,4,3,58.4,61.0,6.73,6.69,3.92,5535
0.8,4,6,2,61.5,58.0,5.97,6.0,3.68,3173
0.41,4,3,8,62.3,55.0,4.75,4.78,2.97,1367
0.37,2,6,3,62.3,56.0,4.61,4.64,2.88,681
0.53,4,4,2,61.7,56.0,5.23,5.24,3.23,1142
0.51,3,6,3,62.3,61.0,5.11,5.07,3.17,1574
1.0,0,5,3,57.4,61.0,6.53,6.63,3.78,4844
1.02,4,2,1,62.1,56.0,6.4,6.45,3.99,3915
0.47,4,6,7,62.0,54.0,4.99,5.01,3.1,2460
0.38,3,6,4,61.6,59.0,4.66,4.62,2.86,998
0.75,2,2,2,60.4,60.0,5.89,5.93,3.57,2106
1.02,2,2,3,61.0,59.0,6.48,6.53,3.97,5455
0.58,4,6,4,61.5,56.0,5.37,5.4,3.31,2590
0.54,3,4,4,59.5,58.0,5.36,5.29,3.17,1786
0.7,4,1,3,62.5,55.0,5.68,5.71,3.56,2110
0.32,4,3,7,61.4,55.0,4.44,4.42,2.72,1080
